feature,gain,split
wind_knots,418419.43167972565,272
vis_km_rollmean3,396325.831155777,102
vis_km,159315.643491745,186
dew_depression,109627.06813240051,205
ceiling_m,58833.8260345459,193
slp_hpa,51534.3672580719,175
doy_cos,37523.2767496109,353
wind_knots_lag1,37224.260701179504,130
dew_depression_x_hour_sin,34909.066568374634,264
vis_km_lag1,29151.049847602844,42
doy_sin,27773.590644836426,336
wind_knots_rollmean12,27017.7110080719,251
slp_hpa_rollstd6,24839.918378829956,264
slp_hpa_rollstd3,24315.502192497253,235
wind_knots_rollmean3,23802.8341960907,153
slp_hpa_rollmean3,23559.785934448242,131
slp_hpa_lag12,23360.47625732422,243
slp_delta_6h,22507.119262695312,227
ceiling_m_rollstd3,22404.34203338623,119
slp_hpa_rollstd12,21009.892066001892,274
dew_c_rollstd12,20208.347977638245,261
temp_c_lag12,20200.929817199707,157
wind_knots_rollstd6,19518.064149856567,238
wind_knots_rollstd12,19469.163608551025,248
dew_c_lag12,19326.009687423706,143
ceiling_m_rollstd12,19313.8222284317,192
ceiling_m_rollstd6,18954.312497138977,136
ceiling_m_rollmean12,17796.2925491333,200
wind_accel_1h,17528.901544570923,153
pressure_drop_x_wind,17248.166186332703,201
dew_c_rollstd6,15834.81624698639,210
wind_knots_rollmean6,15820.626426696777,187
slp_hpa_rollmean12,15523.334098815918,225
slp_delta_3h,15477.795757293701,193
dew_depression_rollmean12,15309.335803031921,153
dew_depression_rollstd6,15109.090669631958,164
slp_hpa_lag6,14940.862024307251,184
wind_dir_cos,14911.791843414307,155
temp_c_rollmean12,14861.403015136719,180
dew_depression_rollstd12,14650.374362945557,197
slp_hpa_lag2,14515.42269229889,126
wind_dir_sin,14414.476058006287,162
ceiling_m_lag1,14049.129652023315,83
slp_hpa_rollmean6,14040.3035364151,153
slp_hpa_lag1,13663.322957992554,133
dew_depression_rollmean3,13143.721296310425,78
lat,12455.169315338135,56
temp_c_rollstd3,12365.989827156067,160
temp_c_rollstd12,12273.264918327332,177
slp_hpa_lag3,12254.0182056427,125
dew_depression_lag12,12176.941915512085,180
temp_c_rollmean3,12135.96173286438,75
temp_c_rollstd6,11570.08756160736,142
wind_knots_rollstd3,11566.39817237854,161
temp_c_lag6,11526.986165046692,107
dew_depression_min_6h,11474.772850036621,111
vis_km_rollmean6,11338.484010696411,61
dew_depression_rollmean6,10557.736688613892,118
ceiling_m_rollmean6,10533.28978729248,139
dew_depression_rollstd3,10388.337408065796,127
hour_sin,10353.51875114441,105
dew_c_rollstd3,10100.581941604614,127
dew_c_lag6,9592.589920043945,82
dew_depression_min_3h,9472.340030670166,65
dew_c_rollmean12,9130.900026321411,122
dew_depression_lag6,8588.714712142944,117
wind_knots_lag12,8468.844982147217,107
dew_depression_lag3,8300.392259597778,94
hour_cos,7988.481048583984,117
vis_km_rollstd12,7853.813180923462,113
temp_c,7818.129981994629,103
dew_depression_lag1,7641.084879875183,77
temp_c_rollmean6,7407.527009963989,101
ceiling_m_rollmean3,6950.613655090332,78
dew_c_rollmean6,6897.872953414917,76
dew_c,6666.937768936157,85
dew_depression_lag2,6402.711515426636,64
dew_c_lag1,6357.423377990723,41
vis_km_rollmean12,6053.459020614624,84
wind_knots_lag2,5856.676876068115,82
wind_dir_sin_coastal,5837.927171707153,46
wind_knots_lag6,5600.136232376099,78
temp_c_lag1,5246.893787384033,64
precip_mm_rollstd12,5196.020551681519,73
precip_mm_rollmean12,5191.26407623291,62
vis_km_rollstd6,5179.713722229004,78
temp_c_lag3,4881.093130111694,54
ceiling_m_lag12,4449.19630241394,56
ceiling_m_lag2,4409.60601234436,37
dew_c_rollmean3,4368.5100955963135,59
dew_c_lag3,4329.199113845825,26
wind_knots_lag3,3652.0528202056885,55
ceiling_m_lag3,3360.1268730163574,52
precip_mm_rollstd6,3267.903423309326,39
precip_mm_rollmean6,3225.39799118042,49
dew_c_lag2,2863.469835281372,35
ceiling_m_lag6,2675.7641010284424,40
vis_km_rollstd3,2598.391809463501,51
wind_dir_cos_coastal,2579.4279975891113,33
vis_km_lag6,2558.1518983840942,44
vis_km_lag3,2252.8204975128174,41
temp_c_lag2,2233.909683227539,30
vis_km_lag12,2143.969220161438,33
precip_mm,2134.090040206909,13
precip_mm_rollmean3,2051.915609359741,28
elev_m,1995.3523788452148,9
vis_km_lag2,1451.3924026489258,30
precip_mm_lag6,1112.1979875564575,18
ceiling_unknown,1104.8538970947266,10
precip_mm_rollstd3,961.9686107635498,23
lon,937.1481895446777,10
calm_and_saturated_coastal,823.6583995819092,10
precip_mm_lag1,573.7977905273438,12
precip_mm_lag3,531.1120014190674,12
precip_mm_lag12,351.14390563964844,8
wind_spike,315.03050422668457,6
precip_mm_lag2,129.25420093536377,5
coastal,128.125,1
calm_and_saturated,108.0514965057373,2
