feature,gain,split
vis_m,1438508.4806051254,293
dew_depression,257379.66852378845,200
ceiling_m_rollstd6,60245.264430999756,187
doy_cos,32410.62354660034,301
dew_depression_lag1,28842.57896900177,97
temp_c,26195.271021842957,70
ceiling_m_rollstd12,25027.154128074646,210
temp_c_lag1,23994.907983779907,52
slp_delta_6h,23634.17725276947,252
ceiling_m,22980.921407699585,183
slp_hpa,22894.442120552063,208
vis_km,22306.393461227417,140
slp_hpa_rollstd3,21164.116397857666,230
slp_hpa_lag12,20573.642258167267,272
doy_sin,19407.562111854553,278
wind_dir_cos,19049.75526714325,146
temp_c_rollstd6,18770.508129119873,193
wind_knots_rollstd6,18519.525725364685,264
slp_hpa_rollstd12,18460.30530023575,225
wind_knots_rollmean12,18015.577001571655,195
ceiling_m_rollstd3,17224.80573272705,125
ceiling_m_rollmean12,16253.94091796875,202
slp_hpa_rollmean3,16151.011730194092,97
dew_depression_rollmean6,16009.290477275848,151
dew_depression_lag6,15745.084761619568,153
slp_delta_3h,15479.190461158752,215
hour_sin,15290.883288383484,134
slp_hpa_rollmean6,15266.82300376892,153
dew_depression_rollmean12,15250.816248893738,144
wind_dir_sin,14784.047596931458,182
temp_c_rollstd12,14347.412463188171,198
dew_c_rollstd12,13939.634864807129,189
dew_depression_lag12,13811.88411617279,141
wind_knots_rollstd12,13557.512634277344,220
slp_hpa_rollstd6,12908.538687705994,229
dew_c_rollmean12,12561.034087181091,102
slp_hpa_rollmean12,11925.92528629303,185
temp_c_rollmean12,11753.286565303802,96
vis_km_rollstd12,11512.406418800354,162
dew_c_rollstd6,11397.96061038971,174
slp_hpa_lag2,11379.167945861816,148
ceiling_m_lag1,11200.768111228943,106
dew_depression_lag2,11168.334978103638,81
slp_hpa_lag1,10866.126430511475,163
lon,10661.915693283081,20
wind_mps,10630.237112045288,131
temp_c_rollstd3,10535.012839317322,154
ceiling_m_rollmean6,10531.34808063507,131
wind_knots_rollmean3,10461.631363868713,143
ceiling_m_rollmean3,10443.410283088684,135
wind_knots_rollmean6,10387.15938949585,116
dew_depression_rollmean3,10191.951825141907,95
dew_depression_rollstd6,9964.668691635132,151
slp_hpa_lag3,9925.746780395508,135
temp_c_lag6,9478.322563171387,83
hour_cos,8767.280217170715,137
lat,8759.334308624268,44
dew_depression_rollstd3,8363.395035743713,143
wind_knots_lag12,8353.74423122406,103
dew_depression_rollstd12,8287.472699165344,169
dew_c_rollstd3,7851.893478393555,110
temp_c_lag12,7725.245274543762,105
wind_knots_rollstd3,7648.737816810608,140
vis_km_lag1,7332.520908355713,81
wind_accel_1h,7322.433555603027,120
dew_c_rollmean6,6965.483098983765,47
slp_hpa_lag6,6942.153648376465,158
vis_km_rollmean12,6743.170188903809,97
dew_c_lag3,6372.442161560059,25
vis_km_rollmean3,6186.489609718323,116
vis_km_rollstd6,6147.216919898987,135
vis_km_rollmean6,5932.157371520996,95
dew_c_lag12,5911.772695541382,117
vis_km_lag12,5801.039808273315,61
wind_knots_lag1,5683.122271537781,68
dew_depression_lag3,5642.2281856536865,80
temp_c_rollmean3,5030.804074287415,61
dew_c_lag1,5019.674249649048,47
wind_knots_lag6,4926.453646659851,84
precip_mm_rollstd12,4916.984526634216,72
dew_c,4857.65686416626,71
temp_c_rollmean6,4814.484214782715,52
ceiling_m_lag2,4630.409178733826,86
vis_km_rollstd3,4524.841104507446,112
precip_mm_lag6,4162.903005599976,21
ceiling_m_lag12,3819.0228424072266,73
dew_c_lag6,3711.84872674942,62
precip_mm_rollmean12,3707.0741901397705,74
ceiling_m_lag6,3585.953884124756,77
ceiling_m_lag3,3539.5637550354004,59
temp_c_lag2,3535.748342514038,35
precip_mm_rollstd6,3304.386185646057,52
precip_mm,3242.0013637542725,62
dew_c_rollmean3,2768.970311164856,50
elev_m,2632.8769311904907,6
precip_mm_rollmean6,2559.237011909485,58
vis_km_lag6,2303.7708826065063,45
wind_knots_lag3,2278.3761491775513,66
dew_c_lag2,2273.2505235671997,25
wind_knots_lag2,2241.601731300354,38
temp_c_lag3,2217.53231716156,45
vis_km_lag3,2040.529709815979,45
precip_mm_rollmean3,1815.6114330291748,45
vis_km_lag2,1701.7025308609009,43
coastal,1566.2789916992188,3
precip_mm_lag3,1454.9310779571533,31
precip_mm_lag1,1454.3861150741577,37
precip_mm_lag2,1395.929307937622,29
precip_mm_lag12,1365.5943021774292,34
precip_mm_rollstd3,1133.1076927185059,33
wind_knots,1047.8196144104004,19
ceiling_unknown,828.910514831543,6
wind_spike,295.24109840393066,9
